Demo_spol,Demo_starost,Demo_regija,Q1a_1_other,najboljše_ujemanje,razmerje,za_pregled
2,18,8,T-2,t-2,1.0,False
1,49,4,Telekom,telekom,1.0,False
1,41,12,Telecom,telekom,0.8571428571428572,False
1,24,10,simobil,simobil,1.0,False
1,35,11,Telekom,telekom,1.0,False
1,25,2,A1,a1,1.0,False
2,23,8,Telekom,telekom,1.0,False
1,50,9,t2,t2,1.0,False
2,57,8,Telekom,telekom,1.0,False
1,22,8,telekom,telekom,1.0,False
1,75,8,Telekom,telekom,1.0,False
1,56,5,T-2,t-2,1.0,False
2,53,8,A1,a1,1.0,False
1,70,8,TELEKOM,telekom,1.0,False
1,54,5,telemach,telemach,1.0,False
2,69,7,T2,t2,1.0,False
1,70,2,a1,a1,1.0,False
1,68,1,telemach,telemach,1.0,False
2,66,9,Telekom,telekom,1.0,False
1,22,7,telekom,telekom,1.0,False
2,58,8,A1,a1,1.0,False
1,69,9,a1,a1,1.0,False
2,67,4,telekom,telekom,1.0,False
1,29,3,A1,a1,1.0,False
1,45,8,a1,a1,1.0,False
1,46,10,Mobitel,mobitel,1.0,False
2,67,4,Telekom,telekom,1.0,False
2,67,8,A1,a1,1.0,False
2,27,8,Izimobil,izimobil,1.0,False
2,52,11,Telemach,telemach,1.0,False
1,47,9,hot hofer,hofer,0.7142857142857143,False
2,58,12,A1,a1,1.0,False
1,63,8,a1,a1,1.0,False
2,58,4,TELEKOM,telekom,1.0,False
2,21,8,hot,hot,1.0,False
2,20,8,Telekom,telekom,1.0,False
2,50,8,Telemah,telemach,0.9333333333333333,False
1,41,9,t2,t2,1.0,False
2,38,8,A1,a1,1.0,False
1,46,8,T2,t2,1.0,False
2,32,9,T2,t2,1.0,False
1,50,8,Aq,a1,0.5,True
1,46,9,a1,a1,1.0,False
1,44,11,t2,t2,1.0,False
1,41,8,HoT,hot,1.0,False
2,46,11,hofer,hofer,1.0,False
2,44,4,A1,a1,1.0,False
1,49,9,Bob,bob,1.0,False
2,43,1,T2,t2,1.0,False
2,75,8,T2,t2,1.0,False
1,56,6,Telemah,telemach,0.9333333333333333,False
1,66,4,Telemach,telemach,1.0,False
1,62,4,telekom,telekom,1.0,False
2,69,8,hot,hot,1.0,False
1,29,4,telekom,telekom,1.0,False
2,27,2,A1,a1,1.0,False
1,30,2,Telemach,telemach,1.0,False
1,20,9,Telekom,telekom,1.0,False
1,32,2,Bob,bob,1.0,False
2,36,2,spar,spar mobil,0.5714285714285714,True
2,34,8,bob,bob,1.0,False
1,42,8,Bob,bob,1.0,False
2,51,2,A1,a1,1.0,False
2,32,2,Bob,bob,1.0,False
1,47,8,bob,bob,1.0,False
1,37,11,bob,bob,1.0,False
2,31,9,Bob,bob,1.0,False
1,36,8,Bob,bob,1.0,False
1,54,12,bob,bob,1.0,False
2,51,8,Bob,bob,1.0,False
2,51,2,A1,a1,1.0,False
1,42,8,bob,bob,1.0,False
2,47,8,Bob,bob,1.0,False
2,43,2,Bob,bob,1.0,False
1,57,9,telekom,telekom,1.0,False
1,64,3,telekom,telekom,1.0,False
2,58,2,Bob,bob,1.0,False
2,62,4,bob,bob,1.0,False
2,20,3,Simobil,simobil,1.0,False
2,27,12,T2,t2,1.0,False
1,27,4,A1,a1,1.0,False
2,18,8,Telekom Slovenije,telekom slovenije,1.0,False
2,21,2,Telemach,telemach,1.0,False
2,39,4,A1,a1,1.0,False
1,46,9,Izimobil,izimobil,1.0,False
2,32,11,T2,t2,1.0,False
2,51,2,"T-2, d.o.o.",t-2,0.4285714285714286,True
2,53,8,T2,t2,1.0,False
2,43,8,A1,a1,1.0,False
1,52,2,T2,t2,1.0,False
1,44,4,Izi,izi,1.0,False
2,53,12,t2,t2,1.0,False
2,47,8,t2,t2,1.0,False
1,35,2,Telenach,telemach,0.875,False
1,38,8,Telekom,telekom,1.0,False
1,45,7,telekom,telekom,1.0,False
1,57,9,Telemach,telemach,1.0,False
1,71,5,bob,bob,1.0,False
2,68,9,Telekom,telekom,1.0,False
2,57,1,Mobitel,mobitel,1.0,False
1,67,8,Telekom,telekom,1.0,False
2,72,2,T2,t2,1.0,False
1,57,8,Telekom,telekom,1.0,False
1,75,12,A1,a1,1.0,False
2,56,8,telemach,telemach,1.0,False
1,66,2,Telemach,telemach,1.0,False
2,69,8,BOB,bob,1.0,False
2,66,8,T2,t2,1.0,False
1,73,11,T2,t2,1.0,False
1,64,4,T2,t2,1.0,False
2,63,1,T2,t2,1.0,False
1,58,9,Telekom Slovenije,telekom slovenije,1.0,False
2,59,9,t-2,t-2,1.0,False
2,60,9,T-2,t-2,1.0,False
1,60,8,T2,t2,1.0,False
1,69,6,a1,a1,1.0,False
1,60,8,t2,t2,1.0,False
2,57,9,T2,t2,1.0,False
2,68,9,Tv2,t2,0.8,False
2,66,3,t2,t2,1.0,False
1,65,11,telekom,telekom,1.0,False
2,21,8,Telemach,telemach,1.0,False
1,25,6,Telemach,telemach,1.0,False
2,23,8,Telemach,telemach,1.0,False
2,24,6,Telemach,telemach,1.0,False
1,25,8,telemach,telemach,1.0,False
2,29,8,Telekom,telekom,1.0,False
1,28,7,Telekom,telekom,1.0,False
2,21,8,Telemach,telemach,1.0,False
2,30,8,t2,t2,1.0,False
1,26,4,Telekom,telekom,1.0,False
2,17,4,A1,a1,1.0,False
2,19,2,T2,t2,1.0,False
2,21,2,Telemach,telemach,1.0,False
2,19,8,Telemach,telemach,1.0,False
2,21,2,Telemach,telemach,1.0,False
1,22,9,Telemach,telemach,1.0,False
1,21,11,telemach,telemach,1.0,False
1,46,4,T2,t2,1.0,False
2,39,6,A1,a1,1.0,False
1,51,2,telemach,telemach,1.0,False
2,48,8,TELEMACH,telemach,1.0,False
1,39,5,A1,a1,1.0,False
1,39,4,Telemach,telemach,1.0,False
1,53,8,A1,a1,1.0,False
2,44,12,telemach,telemach,1.0,False
2,40,2,Mobitel,mobitel,1.0,False
1,46,2,telemach,telemach,1.0,False
2,34,4,telemach,telemach,1.0,False
1,50,5,Telemach,telemach,1.0,False
1,40,8,telekom,telekom,1.0,False
2,53,7,Telemach,telemach,1.0,False
1,45,12,T2,t2,1.0,False
2,52,7,A1,a1,1.0,False
2,38,8,Telemach,telemach,1.0,False
2,31,8,Telemach,telemach,1.0,False
2,32,9,T-2,t-2,1.0,False
2,37,9,Telekom,telekom,1.0,False
1,45,8,telemach,telemach,1.0,False
2,35,8,Telemach,telemach,1.0,False
1,53,9,T2,t2,1.0,False
1,50,8,Telemach,telemach,1.0,False
1,41,1,A1,a1,1.0,False
2,46,7,Telemach,telemach,1.0,False
2,34,2,Telemach,telemach,1.0,False
1,51,8,a1,a1,1.0,False
2,45,8,TELEKOM,telekom,1.0,False
1,47,4,Telemach,telemach,1.0,False
1,55,5,a1,a1,1.0,False
1,37,8,Telemach,telemach,1.0,False
1,51,9,Telemach,telemach,1.0,False
1,39,1,TELEMACH,telemach,1.0,False
1,35,8,Telekom,telekom,1.0,False
2,47,4,Telemach,telemach,1.0,False
1,33,1,Telemach,telemach,1.0,False
2,44,12,Telemach,telemach,1.0,False
1,55,12,a1,a1,1.0,False
1,33,2,Bob,bob,1.0,False
1,33,3,A1,a1,1.0,False
2,45,2,Telemach,telemach,1.0,False
2,42,3,A1,a1,1.0,False
1,55,2,telemach,telemach,1.0,False
2,43,8,a1,a1,1.0,False
1,41,1,telekom,telekom,1.0,False
1,72,8,T2,t2,1.0,False
2,69,8,Telekom,telekom,1.0,False
2,61,6,T2,t2,1.0,False
1,67,9,Telekom,telekom,1.0,False
1,72,4,Bob,bob,1.0,False
2,68,1,TELEKOM,telekom,1.0,False
1,67,8,telemach,telemach,1.0,False
1,63,8,T-2,t-2,1.0,False
1,67,3,Telemah,telemach,0.9333333333333333,False
1,59,8,t2,t2,1.0,False
1,73,8,a1,a1,1.0,False
1,75,2,Telemach,telemach,1.0,False
1,71,8,telekom,telekom,1.0,False
1,69,12,a1,a1,1.0,False
2,71,4,Telemach,telemach,1.0,False
1,63,2,T2,t2,1.0,False
2,62,5,Telekom,telekom,1.0,False
2,65,2,telekom,telekom,1.0,False
2,65,4,Telekom,telekom,1.0,False
2,59,2,Telemach,telemach,1.0,False
2,59,12,Telemach,telemach,1.0,False
1,60,8,Telekom,telekom,1.0,False
1,70,4,telemach,telemach,1.0,False
2,70,4,Telekom,telekom,1.0,False
2,58,8,A1,a1,1.0,False
1,61,8,Telemach,telemach,1.0,False
2,73,6,Telemach,telemach,1.0,False
1,59,7,A1,a1,1.0,False
2,59,7,Telekom,telekom,1.0,False
2,70,9,Telekom,telekom,1.0,False
1,64,2,telemach,telemach,1.0,False
2,69,8,Telemach,telemach,1.0,False
1,61,8,A1,a1,1.0,False
1,58,4,telemach,telemach,1.0,False
2,60,2,telekom,telekom,1.0,False
2,28,7,A1,a1,1.0,False
1,28,7,A1,a1,1.0,False
1,21,6,a1,a1,1.0,False
1,29,8,Telemach,telemach,1.0,False
1,25,12,A1,a1,1.0,False
2,24,10,A1,a1,1.0,False
2,28,8,A1,a1,1.0,False
1,16,7,A1,a1,1.0,False
2,28,1,A1,a1,1.0,False
2,21,2,A1,a1,1.0,False
1,25,8,A1,a1,1.0,False
2,17,12,A1,a1,1.0,False
2,45,2,Telekom,telekom,1.0,False
2,38,4,a1,a1,1.0,False
2,41,2,A1,a1,1.0,False
2,33,6,A1,a1,1.0,False
1,55,8,a1,a1,1.0,False
2,33,9,a1,a1,1.0,False
2,54,2,A1,a1,1.0,False
2,49,2,Telemach,telemach,1.0,False
1,43,2,telekonm,telekom,0.9333333333333333,False
2,45,7,A1,a1,1.0,False
2,35,7,a1,a1,1.0,False
2,48,8,a1,a1,1.0,False
1,41,2,Telekom,telekom,1.0,False
2,42,8,A1,a1,1.0,False
2,52,2,A1,a1,1.0,False
1,38,12,a1,a1,1.0,False
1,35,8,A1,a1,1.0,False
2,47,7,Telemach,telemach,1.0,False
2,42,4,A1,a1,1.0,False
1,35,9,A1,a1,1.0,False
2,36,11,A1,a1,1.0,False
2,35,8,Telekom,telekom,1.0,False
2,36,8,a1,a1,1.0,False
2,53,12,Telecom,telekom,0.8571428571428572,False
1,51,6,A1,a1,1.0,False
1,39,8,Simobil,simobil,1.0,False
2,51,7,telecom,telekom,0.8571428571428572,False
1,43,10,A1,a1,1.0,False
1,34,4,Telekom,telekom,1.0,False
2,55,4,a1,a1,1.0,False
2,54,12,A1,a1,1.0,False
1,33,2,A1,a1,1.0,False
1,39,8,T2,t2,1.0,False
2,48,8,A1,a1,1.0,False
1,55,2,Telemach,telemach,1.0,False
1,50,8,a1,a1,1.0,False
2,66,2,A1,a1,1.0,False
1,64,10,a1,a1,1.0,False
2,72,6,A1,a1,1.0,False
2,66,8,a1,a1,1.0,False
2,66,8,A1,a1,1.0,False
2,60,11,A1,a1,1.0,False
2,58,4,TELEMACH,telemach,1.0,False
2,70,6,A 1,a1,0.8,False
2,63,10,Telekom,telekom,1.0,False
2,66,8,A1,a1,1.0,False
2,68,4,A1,a1,1.0,False
1,67,6,a1,a1,1.0,False
2,61,9,A1,a1,1.0,False
1,60,8,A 1,a1,0.8,False
1,60,9,a1,a1,1.0,False
2,64,2,A1,a1,1.0,False
2,57,3,A1,a1,1.0,False
2,56,11,telekom,telekom,1.0,False
2,67,9,A1,a1,1.0,False
2,60,8,a1,a1,1.0,False
1,63,4,a1,a1,1.0,False
2,59,2,a1,a1,1.0,False
2,67,9,t-2,t-2,1.0,False
2,21,8,Telekom,telekom,1.0,False
2,25,8,Telekom,telekom,1.0,False
2,19,3,Telekom,telekom,1.0,False
2,28,8,Telemach,telemach,1.0,False
1,19,1,Telemah,telemach,0.9333333333333333,False
2,23,8,Bob,bob,1.0,False
2,26,6,Telekom,telekom,1.0,False
2,28,4,telemach,telemach,1.0,False
1,26,8,Telekom,telekom,1.0,False
1,29,8,Telemach,telemach,1.0,False
1,29,4,Amis,spar mobil,0.4285714285714286,True
2,20,7,telekom,telekom,1.0,False
1,27,9,A1,a1,1.0,False
1,19,7,Telekom,telekom,1.0,False
1,30,8,T-2,t-2,1.0,False
2,26,2,A1,a1,1.0,False
1,30,1,Telekom,telekom,1.0,False
1,20,12,T2,t2,1.0,False
1,24,7,A1,a1,1.0,False
2,24,12,A1,a1,1.0,False
2,23,8,/,,0.0,True
1,17,8,telekom,telekom,1.0,False
1,20,2,Telekom,telekom,1.0,False
1,55,2,Telekom,telekom,1.0,False
1,38,10,A1,a1,1.0,False
1,45,2,Telekom,telekom,1.0,False
1,37,11,Telekom,telekom,1.0,False
1,33,1,Bob,bob,1.0,False
1,44,1,Telekom,telekom,1.0,False
1,40,6,T2,t2,1.0,False
2,36,8,Telekom,telekom,1.0,False
1,31,8,Telekom,telekom,1.0,False
2,50,4,Telekom,telekom,1.0,False
2,35,5,Telekom Slovenije,telekom slovenije,1.0,False
1,37,2,Telekom,telekom,1.0,False
2,47,9,Telekom,telekom,1.0,False
1,51,7,Telecom,telekom,0.8571428571428572,False
2,38,2,Telekom,telekom,1.0,False
2,33,5,Telekom,telekom,1.0,False
1,32,7,A1,a1,1.0,False
1,50,6,a1,a1,1.0,False
2,51,1,Telekom,telekom,1.0,False
2,44,2,Telemach,telemach,1.0,False
1,31,4,A1,a1,1.0,False
1,34,1,Telekom,telekom,1.0,False
2,36,8,Telekom,telekom,1.0,False
2,47,8,telekom,telekom,1.0,False
1,52,6,BOB,bob,1.0,False
2,43,2,Telekom,telekom,1.0,False
1,47,2,Telekom,telekom,1.0,False
1,42,2,Telekom,telekom,1.0,False
2,37,2,a1,a1,1.0,False
2,34,4,Hofer,hofer,1.0,False
1,33,8,telekom,telekom,1.0,False
2,52,8,TELEKOM SLOVENIJE,telekom slovenije,1.0,False
1,53,8,T2,t2,1.0,False
1,35,4,Telekom,telekom,1.0,False
1,39,8,Telekom,telekom,1.0,False
2,45,9,T2,t2,1.0,False
2,43,10,Telekom,telekom,1.0,False
1,33,8,Telekom,telekom,1.0,False
1,46,9,TELEMACH,telemach,1.0,False
2,49,12,Telekom Slovenija,telekom slovenije,0.9411764705882353,False
1,44,8,Telekom,telekom,1.0,False
2,61,5,Telemach,telemach,1.0,False
1,72,9,Telekom,telekom,1.0,False
1,71,7,Bob,bob,1.0,False
2,57,12,Telekom,telekom,1.0,False
1,67,4,Telemach,telemach,1.0,False
1,63,8,telakom,telekom,0.8571428571428572,False
1,63,4,telemah,telemach,0.9333333333333333,False
2,71,2,Telekom,telekom,1.0,False
1,71,2,telekom,telekom,1.0,False
2,56,2,Telekom,telekom,1.0,False
1,65,4,Telekom,telekom,1.0,False
1,58,8,Telekom Slovenije,telekom slovenije,1.0,False
1,64,9,telekom,telekom,1.0,False
1,63,8,A1,a1,1.0,False
2,62,2,Telekom,telekom,1.0,False
1,57,8,TELEKOM,telekom,1.0,False
1,59,8,Telekom,telekom,1.0,False
2,59,7,telekom,telekom,1.0,False
2,60,8,Telekom,telekom,1.0,False
2,67,8,Telemach,telemach,1.0,False
2,71,10,TELEKOM SLOVENIJE,telekom slovenije,1.0,False
2,67,1,A1,a1,1.0,False
1,71,4,t2,t2,1.0,False
1,56,4,Telemach,telemach,1.0,False
2,29,3,A1,a1,1.0,False
1,30,2,Telemach,telemach,1.0,False
2,29,4,izimobil,izimobil,1.0,False
1,16,8,Telemach,telemach,1.0,False
1,24,11,Zyzyt,t2,0.2857142857142857,True
1,19,1,Hofer,hofer,1.0,False
2,26,8,Telemach,telemach,1.0,False
2,19,12,Twlwkom,telekom,0.7142857142857143,False
1,26,2,T2,t2,1.0,False
2,17,4,Moj Telekom,hot telekom,0.8181818181818181,False
2,29,7,Mobitel,mobitel,1.0,False
2,27,6,BOB,bob,1.0,False
1,29,8,Telemach,telemach,1.0,False
1,20,8,Telekom,telekom,1.0,False
2,27,2,A1,a1,1.0,False
2,29,8,Telemach,telemach,1.0,False
1,23,7,Telemach,telemach,1.0,False
1,21,7,telekom,telekom,1.0,False
1,24,8,telemach,telemach,1.0,False
1,23,9,Telekom,telekom,1.0,False
1,21,12,A1,a1,1.0,False
2,23,8,A1,a1,1.0,False
2,24,6,Telekom,telekom,1.0,False
1,24,2,Telekom Slovenije,telekom slovenije,1.0,False
1,24,7,telekom,telekom,1.0,False
1,29,9,A1,a1,1.0,False
1,24,11,Bob,bob,1.0,False
2,26,8,bob,bob,1.0,False
1,24,10,Bob,bob,1.0,False
1,28,8,telekom,telekom,1.0,False
1,16,8,Samsung,spar mobil,0.3529411764705882,True
1,23,8,T2,t2,1.0,False
1,22,2,telekom,telekom,1.0,False
1,20,2,telemach,telemach,1.0,False
2,24,2,A1,a1,1.0,False
1,30,2,Telemach,telemach,1.0,False
2,28,9,A1,a1,1.0,False
1,23,9,bob,bob,1.0,False
2,30,7,A1,a1,1.0,False
1,18,8,T2,t2,1.0,False
1,18,9,mobitel,mobitel,1.0,False
1,23,2,telemach,telemach,1.0,False
1,28,6,Mobitel,mobitel,1.0,False
2,26,11,Telekom,telekom,1.0,False
1,23,2,T2,t2,1.0,False
2,21,8,hot hofer,hofer,0.7142857142857143,False
1,26,9,izimobil,izimobil,1.0,False
2,20,11,Telekom,telekom,1.0,False
1,20,4,Telemach,telemach,1.0,False
2,20,8,Hot Hofer,hofer,0.7142857142857143,False
2,20,4,A1,a1,1.0,False
2,24,11,Bob,bob,1.0,False
1,20,4,t2,t2,1.0,False
1,27,11,Telemach,telemach,1.0,False
1,28,8,a1,a1,1.0,False
1,29,8,T2,t2,1.0,False
1,25,4,A1,a1,1.0,False
2,22,4,Telemach,telemach,1.0,False
1,28,1,Telemach,telemach,1.0,False
1,26,8,Telekom,telekom,1.0,False
1,29,1,Telekom,telekom,1.0,False
2,19,2,telemach,telemach,1.0,False
1,25,8,Hofer,hofer,1.0,False
2,30,1,Telemach,telemach,1.0,False
2,23,1,A1,a1,1.0,False
2,23,1,T2,t2,1.0,False
1,25,8,Telemach,telemach,1.0,False
2,21,8,Telemah,telemach,0.9333333333333333,False
2,31,12,Telekom,telekom,1.0,False
2,43,9,t2,t2,1.0,False
2,39,12,Telekom,telekom,1.0,False
2,43,4,Telekom,telekom,1.0,False
2,42,8,Telemach,telemach,1.0,False
2,54,8,Telemach,telemach,1.0,False
2,39,12,t2,t2,1.0,False
2,49,7,A1,a1,1.0,False
2,55,2,Telemach,telemach,1.0,False
1,37,7,telekom,telekom,1.0,False
1,40,2,Telekom Slovenije,telekom slovenije,1.0,False
1,50,3,A1,a1,1.0,False
2,42,8,A1,a1,1.0,False
2,35,7,A1,a1,1.0,False
2,41,8,telekom,telekom,1.0,False
1,33,8,A1,a1,1.0,False
2,49,4,telemach,telemach,1.0,False
2,47,2,Telemach,telemach,1.0,False
2,55,8,Bob,bob,1.0,False
1,38,3,Bob,bob,1.0,False
1,37,9,telekom,telekom,1.0,False
1,35,8,bob,bob,1.0,False
2,40,4,A1,a1,1.0,False
2,40,12,Telekom slovenije,telekom slovenije,1.0,False
2,47,9,A1,a1,1.0,False
2,40,6,A1,a1,1.0,False
2,43,8,telekom,telekom,1.0,False
2,37,9,telemach,telemach,1.0,False
2,48,3,A1,a1,1.0,False
2,35,8,A1,a1,1.0,False
1,31,5,a1,a1,1.0,False
1,46,2,Telemach,telemach,1.0,False
1,55,8,Bob,bob,1.0,False
1,45,8,Bob,bob,1.0,False
1,38,8,T-2,t-2,1.0,False
1,45,4,Telekom,telekom,1.0,False
2,45,8,Hot,hot,1.0,False
2,42,8,A1,a1,1.0,False
1,39,2,A1,a1,1.0,False
2,32,10,A1,a1,1.0,False
1,48,2,simobil,simobil,1.0,False
1,31,1,Telemach,telemach,1.0,False
2,36,8,A1,a1,1.0,False
1,38,2,Telekom,telekom,1.0,False
1,45,11,A1,a1,1.0,False
1,42,3,telekom,telekom,1.0,False
2,50,8,Telemach,telemach,1.0,False
2,40,9,Telekom,telekom,1.0,False
1,41,11,Telekom,telekom,1.0,False
2,46,2,telekom,telekom,1.0,False
1,51,4,Telekom Slovenije,telekom slovenije,1.0,False
1,46,2,T2,t2,1.0,False
2,47,8,telekom slovenije,telekom slovenije,1.0,False
2,39,7,telemach,telemach,1.0,False
2,37,9,A1,a1,1.0,False
2,55,6,Telekom,telekom,1.0,False
2,45,11,Telemach,telemach,1.0,False
1,33,7,a1,a1,1.0,False
2,52,9,Telemach,telemach,1.0,False
1,40,3,Telemach,telemach,1.0,False
2,44,12,Telemach,telemach,1.0,False
2,47,6,A1,a1,1.0,False
1,33,8,A1,a1,1.0,False
2,41,2,telekom,telekom,1.0,False
2,48,2,telemach,telemach,1.0,False
1,42,3,Telemach,telemach,1.0,False
1,54,2,t2,t2,1.0,False
1,44,11,Telekom,telekom,1.0,False
2,45,6,a1,a1,1.0,False
1,41,8,telemach,telemach,1.0,False
1,54,8,A1,a1,1.0,False
1,50,3,Mobitel,mobitel,1.0,False
2,52,6,TELEMACH,telemach,1.0,False
1,38,9,Telekom,telekom,1.0,False
1,39,5,A1,a1,1.0,False
2,53,9,hofer,hofer,1.0,False
1,52,8,telemach,telemach,1.0,False
1,51,8,a1,a1,1.0,False
2,45,9,A1,a1,1.0,False
2,54,11,A1,a1,1.0,False
2,55,2,Simobil,simobil,1.0,False
2,47,4,Telekom,telekom,1.0,False
1,43,11,Bob,bob,1.0,False
1,51,8,Izi,izi,1.0,False
1,43,12,A1,a1,1.0,False
1,43,8,Bob,bob,1.0,False
2,49,7,Hot,hot,1.0,False
1,53,8,Telekom,telekom,1.0,False
2,55,2,Telemach,telemach,1.0,False
1,42,12,Hofer,hofer,1.0,False
1,47,4,t2,t2,1.0,False
1,48,8,A1 Slovenia,a1 slovenija,0.9565217391304348,False
2,54,8,Telemach,telemach,1.0,False
2,41,1,telekom,telekom,1.0,False
2,54,10,A1,a1,1.0,False
1,40,8,telemach,telemach,1.0,False
1,47,4,T2,t2,1.0,False
1,43,1,Telemach,telemach,1.0,False
1,52,2,A1,a1,1.0,False
1,51,9,telekom,telekom,1.0,False
2,34,12,Telekom,telekom,1.0,False
1,41,8,A1,a1,1.0,False
1,53,9,A1,a1,1.0,False
2,46,1,Telekom,telekom,1.0,False
1,34,1,Telekom,telekom,1.0,False
1,46,8,Telekom,telekom,1.0,False
2,51,11,A1,a1,1.0,False
2,51,2,Telekom,telekom,1.0,False
1,35,7,T2,t2,1.0,False
2,43,4,telemach,telemach,1.0,False
1,46,6,t2,t2,1.0,False
1,36,2,a1,a1,1.0,False
1,49,10,A1,a1,1.0,False
2,43,9,Telemach,telemach,1.0,False
1,44,8,A1,a1,1.0,False
1,37,4,Telemach,telemach,1.0,False
1,32,9,Telemach,telemach,1.0,False
1,37,8,a1,a1,1.0,False
2,54,2,Telekom,telekom,1.0,False
1,55,10,telekom,telekom,1.0,False
2,51,4,hofer,hofer,1.0,False
2,44,8,Telekom,telekom,1.0,False
2,53,4,Telemach,telemach,1.0,False
2,37,2,telekom,telekom,1.0,False
1,41,7,telekom slovenije,telekom slovenije,1.0,False
2,49,8,TELEKOM,telekom,1.0,False
2,43,4,T2,t2,1.0,False
2,35,8,t2,t2,1.0,False
1,31,8,telekom slovenije,telekom slovenije,1.0,False
1,38,5,telekom,telekom,1.0,False
2,49,4,Telekom,telekom,1.0,False
2,31,10,hot.si,hot,0.6666666666666667,True
1,55,4,Telemah,telemach,0.9333333333333333,False
2,43,7,A1,a1,1.0,False
2,32,12,telekom,telekom,1.0,False
1,44,2,Telemach,telemach,1.0,False
1,44,8,Telemach,telemach,1.0,False
2,33,2,Telemach,telemach,1.0,False
2,33,8,A1,a1,1.0,False
1,43,8,Telemach,telemach,1.0,False
2,36,8,Telekom Slo,telekom slovenije,0.7857142857142857,False
1,48,2,Telemah,telemach,0.9333333333333333,False
2,34,7,telemach,telemach,1.0,False
1,55,4,Hofer Telekom,hofer telekom,1.0,False
1,55,9,Telemach,telemach,1.0,False
1,51,4,Telekom,telekom,1.0,False
1,47,8,telemach,telemach,1.0,False
1,33,5,t2,t2,1.0,False
2,33,5,bob,bob,1.0,False
1,38,10,T2,t2,1.0,False
1,55,8,t2,t2,1.0,False
2,37,3,Telemach,telemach,1.0,False
1,51,1,bob,bob,1.0,False
1,50,8,Telekom,telekom,1.0,False
1,35,9,T2,t2,1.0,False
1,48,9,A1,a1,1.0,False
2,32,5,A1,a1,1.0,False
1,46,8,Telekom,telekom,1.0,False
1,44,8,A1,a1,1.0,False
1,31,8,bob,bob,1.0,False
1,64,2,Telekom,telekom,1.0,False
1,63,4,telemah,telemach,0.9333333333333333,False
2,63,8,telekom,telekom,1.0,False
1,68,8,Telekom,telekom,1.0,False
2,59,12,a1,a1,1.0,False
2,69,7,T2,t2,1.0,False
1,67,5,Telekom,telekom,1.0,False
2,68,1,T2,t2,1.0,False
1,68,1,bob,bob,1.0,False
2,66,8,telekom,telekom,1.0,False
1,69,1,a1,a1,1.0,False
1,59,2,Telemach,telemach,1.0,False
2,69,12,A1,a1,1.0,False
1,56,8,telemach,telemach,1.0,False
2,68,2,T2,t2,1.0,False
2,59,9,A1,a1,1.0,False
1,59,2,Telekom,telekom,1.0,False
2,66,1,Telemach,telemach,1.0,False
2,71,4,Mobitel,mobitel,1.0,False
2,58,8,Telekom,telekom,1.0,False
2,69,7,T2,t2,1.0,False
2,67,8,Telemach,telemach,1.0,False
2,66,3,Telekom,telekom,1.0,False
1,57,8,Hofer mobil,hot mobil,0.8,False
2,60,8,Telemach,telemach,1.0,False
2,67,8,A1,a1,1.0,False
1,59,2,A 1,a1,0.8,False
2,66,9,Spar telekom,telekom,0.736842105263158,False
2,62,10,Telekom,telekom,1.0,False
1,66,2,telekom,telekom,1.0,False
2,64,8,A1,a1,1.0,False
2,70,2,telemach,telemach,1.0,False
2,74,11,T-2,t-2,1.0,False
1,61,8,telemach,telemach,1.0,False
1,56,4,Telemach,telemach,1.0,False
2,58,2,Hot,hot,1.0,False
2,67,4,Telekom,telekom,1.0,False
1,59,2,TELEMACH,telemach,1.0,False
2,72,5,telekom,telekom,1.0,False
2,63,7,A1,a1,1.0,False
1,56,2,BOB,bob,1.0,False
1,70,2,A1,a1,1.0,False
2,65,8,Izimobil,izimobil,1.0,False
2,73,4,telemach,telemach,1.0,False
2,68,3,telemach,telemach,1.0,False
2,71,2,Telekom,telekom,1.0,False
1,73,9,telekom,telekom,1.0,False
1,61,8,Telekom,telekom,1.0,False
2,68,8,Telekom,telekom,1.0,False
2,73,2,Telemach,telemach,1.0,False
1,67,2,telemach,telemach,1.0,False
2,58,8,A1,a1,1.0,False
2,57,8,Tekekom,telekom,0.8571428571428572,False
2,58,11,Bob,bob,1.0,False
2,60,8,A1,a1,1.0,False
2,64,5,Telekom,telekom,1.0,False
2,59,8,Telemach,telemach,1.0,False
2,64,8,Telekom,telekom,1.0,False
2,56,8,telekom,telekom,1.0,False
2,65,2,TELEMACH,telemach,1.0,False
1,60,4,TELEMACH,telemach,1.0,False
2,67,2,A1,a1,1.0,False
2,57,5,TELEKOM,telekom,1.0,False
2,66,5,a1,a1,1.0,False
1,72,12,T2,t2,1.0,False
2,65,2,Telekom,telekom,1.0,False
2,59,11,A1,a1,1.0,False
1,69,5,Mobitel,mobitel,1.0,False
1,69,4,telekom,telekom,1.0,False
1,63,7,Telemach,telemach,1.0,False
1,56,2,Telekom,telekom,1.0,False
1,66,4,Telemach,telemach,1.0,False
2,65,9,Hot Hofer,hofer,0.7142857142857143,False
1,61,1,telekom,telekom,1.0,False
1,57,9,Telemach,telemach,1.0,False
1,66,9,t-2,t-2,1.0,False
1,68,9,izi,izi,1.0,False
1,68,11,telemah,telemach,0.9333333333333333,False
2,62,8,A1,a1,1.0,False
2,64,2,T2,t2,1.0,False
2,56,11,t2,t2,1.0,False
2,66,7,telekom,telekom,1.0,False
1,64,12,Telemach,telemach,1.0,False
2,68,2,T2,t2,1.0,False
