Demo_spol,Demo_starost,Demo_regija,D11,S2,Q0B4_r1,Q0B4_r2,Q0B4_r3,Q0B4_r4,Q0B3,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1a_11,Q1a_1_other,Q1a_2_other,Q1a_3_other,Q1a_4_other,Q1a_5_other,Q1a_6_other,Q1a_7_other,Q1a_8_other,Q1a_9_other,Q1a_10_other,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1b_9,Q1b_10,Q1b_11,Q1b_1_other,Q1b_2_other,Q1b_3_other,Q1b_4_other,Q1b_5_other,Q1b_6_other,Q1b_7_other,Q1b_8_other,Q1b_9_other,Q1b_10_other,Q2b_1,Q2b_2,Q2b_3,Q2b_4,Q2b_5,Q2b_6,PREFmobilni,PREFmobilni_8_other,PREFfix
2,27,5,3,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Hofer,Bob,Telekom,A1,Telemah, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,Telemah,T2, , , , , , ,1,1,1,1,0,0,1, ,1
2,30,8,4,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,A1,Telekom,Telemach,T2,HOT,BOB, , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,Telekom,T2, , , , , , , ,1,1,1,1,0,0,2, ,3
2,18,12,8,2,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,T2,Telekom,Telemach, , , , , , , ,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,T2,Telekom,Telemach, , , , , , , ,1,1,1,1,0,0,1, ,1
2,29,4,3,2,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,telekom,a1, , , , , , , , ,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,telekom,a1, , , , , , , , ,1,1,0,0,0,0,1, ,1
2,26,2,4,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,Telemach,T2,Telekom,Izimobil,Bob,Hot mobil, , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,T2, , , , , , , ,1,1,1,1,0,0,6, ,1
1,25,2,3,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,telekom,telemach,a1, , , , , , , ,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,telekom,telemach, , , , , , , , ,1,0,1,0,0,0,1, ,1
2,24,8,2,2,1,2,1,2,3,1,1,1,0,0,0,0,0,0,0,0,Telekom,A1,Telemah, , , , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,Bob, , , , , , , ,1,1,1,1,1,0,1, ,1
1,24,2,9,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,telemach,telekom,a1,hot hofer, , , , , , ,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,Telemach,Telekom,T-2,A1,Hot Hofer,Bob, , , , ,1,1,1,1,0,0,3, ,3
2,21,2,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom,Bob, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom,Bob, , , , , , ,1,1,1,1,0,0,2, ,2
2,21,4,1,2,1,1,1,2,3,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Telemach,A1,Bob,Telekom,Neo, , , , , ,1,1,1,1,1,0,2, ,2
2,19,10,1,2,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,Telekom Slovenije,A1,Telemah,T2,Hofer, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Telekom Slovenije,A1,T2,Telemah,Studio proteus, , , , , ,1,1,1,1,0,0,1, ,2
