Demo_spol,Demo_starost,Demo_regija,D11,S2,Q0B4_r1,Q0B4_r2,Q0B4_r3,Q0B4_r4,Q0B3,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1a_11,Q1a_1_other,Q1a_2_other,Q1a_3_other,Q1a_4_other,Q1a_5_other,Q1a_6_other,Q1a_7_other,Q1a_8_other,Q1a_9_other,Q1a_10_other,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1b_9,Q1b_10,Q1b_11,Q1b_1_other,Q1b_2_other,Q1b_3_other,Q1b_4_other,Q1b_5_other,Q1b_6_other,Q1b_7_other,Q1b_8_other,Q1b_9_other,Q1b_10_other,Q2b_1,Q2b_2,Q2b_3,Q2b_4,Q2b_5,Q2b_6,PREFmobilni,PREFmobilni_8_other,PREFfix
1,39,9,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,T2,Telekom, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,T2,A1,Telekom, , , , , , ,1,1,1,1,1,0,3, ,3
2,28,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,Telekom,T-2,Telemach,re:do,A1,Bob,Spar,HoT, , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,T-2,Telemach, , , , , , ,1,1,1,1,1,0,9, ,6
1,51,2,4,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Hot,Bob,A1,Telemach,Telekom slovenije,T2, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,A1,Telemach,T2,Telekom slovenije,Amis, , , , , ,1,1,1,1,1,0,6, ,3
1,48,2,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemah,A1,T2,Siol, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemah,T2,Telekom,A1, , , , , , ,1,1,1,1,0,0,2, ,2
1,58,9,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,telekom,telemah,t2, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,telekom,t2,a1,telemah, , , , , , ,1,1,1,1,0,0,1, ,4
1,59,2,4,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,TELEMACH,Hofer,Telekom, , , , , , , ,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Telemach, , , , , , , , , ,1,1,1,1,0,0,3, ,3
2,42,8,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,T2,Telekom, , , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,A1,T2,Telekom,Telemach, , , , , , ,1,1,1,1,1,0,3, ,1
2,59,8,9,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,T 2,A 1, , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telemach,A1, , , , , , , , ,1,1,1,1,0,0,3, ,3
2,32,8,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,Telekom,Bob, , , , , , ,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,A1,Telekom, , , , , , , ,1,1,1,1,1,0,9, ,2
1,49,8,6,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Telekom,Telemach,T2,Bob,Hofer, , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,Telekom,T-2, , , , , , , ,1,1,1,1,0,0,3, ,3
1,62,5,2,2,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,T-2,A1,Telekom,Telemach,HOT,BOB, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,telemach,T-2,telekom,A1, , , , , , ,1,1,1,1,1,0,9, ,6
1,56,2,4,2,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,telekom,telemach,A1,T2,Hofer, , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,T2,A1, , , , , , ,1,1,1,1,1,0,1, ,1
1,52,8,3,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,telemach,telekom, , , , , , , , ,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,telemach,telekom, , , , , , , , ,0,0,1,0,0,0,3, ,3
2,41,1,2,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,Telemach,Telekom,A1, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Telemach,Telekom,A1,T2,Bob, , , , , ,1,1,1,1,1,0,3, ,3
1,45,8,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemah,Hot,A1,T2, , , , , , ,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemah,Hot,T2, , , , , , ,1,1,1,1,1,0,3, ,3
2,27,7,5,2,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,Mobitel,A1,Tus,telemach,Bob, , , , , ,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,T2,Telemach,A1,Eon, , , , , , ,1,1,1,1,1,0,2, ,4
1,56,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,A1,T2,Telekom,Hofer,Telemach,Bob,Spar, , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,T2,A1,Telekom,Telemach, , , , , , ,1,1,1,1,1,0,1, ,1
2,47,2,8,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,Hofer,Izi, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,T2,Telemach, , , , , , ,1,1,1,1,0,0,1, ,1
2,53,4,3,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telemach,T2,A1,Telekom,Spar mobil,Bob, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Telemach,T2,A1,Telekom,Total tv, , , , , ,1,1,1,1,1,0,3, ,3
1,62,9,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,a1,t2,telekom,hofer mobil,telemach,spar mobil,bob,izi mobil, , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,a1,t2,telekom,telemach, , , , , , ,1,1,1,0,1,0,9, ,4
2,23,1,4,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom,Bob, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,Telekom,A1, , , , , , , ,1,1,1,0,0,0,2, ,6
1,29,9,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom,Hot,Telemach, , , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,T2,Telekom,Telemach,A1, , , , , , ,1,1,1,1,1,0,2, ,4
1,49,8,9,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,Telemach, , , , , , , , , ,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Telemach, , , , , , , , , ,1,1,1,0,0,0,3, ,6
1,29,8,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,T2,Telekom Slovenije,Telemach,IziMobil,HotHofer,A1,Bob, , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telekom Slovenije,Telemach, , , , , , , ,1,1,1,1,1,0,1, ,2
2,35,8,3,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom,Telemach,Hot, , , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Siol,Telemach,T2, , , , , , , ,1,1,1,1,1,0,6, ,6
1,55,4,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,T2,Telekom, , , , , , ,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,T2,A1,Telemach, , , , , , , ,1,1,1,1,1,0,3, ,3
1,47,10,9,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Telekom,Hofer,Bob,Simobil,Telemach,Tuš, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Simobil,Hofer,Telemach, , , , , , ,1,1,1,1,1,0,5, ,1
2,60,7,3,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,Telemah,A1,Mobitel, , , , , , , ,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemah,A1,Telekom, , , , , , , ,1,1,1,1,1,0,1, ,1
1,23,8,9,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,t2,bob,a1,izy mobil,telemach,telekom,redo, , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,total tv,t2,telekom,a1,telemach, , , , , ,1,1,1,1,1,0,5, ,6
1,58,4,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,T2,A1, , , , , , ,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach t2,A1, , , , , , , ,1,1,1,1,0,0,3, ,3
2,33,8,6,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,telekom,telemach,t2, , , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,telekom,telemach, , , , , , , , ,1,1,1,1,0,0,1, ,4
1,62,1,9,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Telekom, , , , , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telekom,A1, , , , , , , , ,1,1,1,1,1,0,1, ,1
1,35,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,Bob,A1,Spar,Hofer,Telekom,Telemach,T2, , , ,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,T2,Telekom, , , , , , ,1,1,1,1,0,0,2, ,3
1,52,8,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Telemach,Telekom,A1,T2,bob,easy, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,A1,T2, , , , , , ,1,1,1,1,1,0,3, ,3
1,32,2,2,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telemach,Telekom,A1,Bob,Hofer, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,T2,A1, , , , , , ,1,1,1,1,1,0,3, ,3
1,54,8,5,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,T2,Telemach,Telekom, , , , , , , ,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,T2, , , , , , , , , ,1,0,1,1,0,0,4, ,4
1,53,10,2,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,T2,A1,TELEMACH,AMIS,TELEKOM,TUŠMOBIL, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,T2,A1,TELEMACH,TELEKOM,AMIS, , , , , ,1,1,1,1,1,0,4, ,4
1,63,2,1,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,A1,Telekom,Telemach,Tuš Mobil,Hofer, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,Telemach,T2, , , , , , ,1,1,1,1,0,0,2, ,2
1,63,7,3,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,A1, , , , , , , , , ,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,T2, , , , , , , , , ,1,1,1,1,0,0,5, ,3
2,58,11,2,2,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,Bob,Telekom,Telemah,T2,A1, , , , , ,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemah,T2,A1, , , , , , ,1,1,1,1,0,0,9, ,6
1,55,8,6,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Telemach,T-2,Telekom,Bob,HoT, , , , , ,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,T-2,Telekom, , , , , , , ,1,0,1,1,1,0,3, ,3
1,46,8,9,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,Telemach,A1,T-2,Hofer Telekom,Telekom Slovenije,Bob,Izi Mobil,Redo, , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Telemach,T-2,A1,Telekom,Total TV, , , , , ,1,1,1,1,1,0,2, ,2
1,63,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,Telemach,TElekom SLovenije,A1,T-2,Bob,Spar mobil,Hot Hofer, , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom Slovenije,A1,T-2, , , , , , ,1,1,1,1,0,0,4, ,4
2,64,8,3,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,Tušmobil, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,T-2,Telemach, , , , , , , ,1,1,1,1,1,0,1, ,1
2,56,8,6,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telekom Slovenija,T2,Telemach,A1,hofer,bob, , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,telekom slovenije,a1,telemach, , , , , , , ,1,1,1,1,0,0,1, ,4
1,55,10,3,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,telekom,t2,telemach, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,telekom,telemach,t2, , , , , , , ,1,1,1,1,1,0,1, ,1
2,39,9,9,2,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,Telekom,Simobil,A1,T2,Hofer, , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,T2,A1,Telekom, , , , , , , ,1,1,1,1,0,0,1, ,1
2,28,8,3,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telekom,T2,A1,Telemach,Hofer,Bob, , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telekom,T2, , , , , , , , ,1,1,1,1,0,0,1, ,1
2,60,3,2,2,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,Hofer,Telekom,T2,A1,Telemach, , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,1,0,2, ,2
2,23,2,3,2,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,Telemach,A1,Telekom, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,A1,Telekom, , , , , , , ,1,1,1,1,0,0,3, ,2
1,60,2,3,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,a1,telemach, , , , , , , , ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,siol, , , , , , , , , ,0,0,1,0,0,0,1, ,1
2,51,1,3,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,Telemach,A1, , , , , , , , ,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,telemach,a1,telekom  slovenija, , , , , , , ,1,1,1,0,0,0,3, ,3
1,18,8,7,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telemach,Telekom,A1,T2,Bob, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,Telemach,Telekom,A1,Bob,T2,Hofer, , , , ,1,1,1,1,0,0,3, ,2
1,45,8,3,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,Bob,Izimobil,Tuš telekom,Hofer mobil,T2,Telemach,Telekom, , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,A1,Telekom,T2, , , , , , ,1,1,1,1,0,0,6, ,2
2,54,11,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom,Telemah,T2, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom,Telemah,T2, , , , , , ,1,1,1,1,1,0,5, ,6
2,55,7,3,2,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,T2,Telemach,Telekom,Hot,Spar,Bob,Izi, , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,T2,Telemach,A1,Telekom,Total, , , , , ,1,1,1,1,1,0,4, ,2
2,63,4,5,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,TELEKOM,TELEMACH,BOB, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,TELEKOM,TELEMAH,A1,T2, , , , , , ,1,1,1,1,0,0,1, ,1
1,31,8,4,2,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,bob,a1, , , , , , , , ,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,telemach,t2, , , , , , , , ,1,1,1,1,1,0,5, ,3
1,33,8,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Telekom,A1,Telemach,T2,Re do,Hot hofer,Spar mobil,Bob, , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,T2, , , , , , ,1,1,1,1,0,0,2, ,2
2,21,9,9,2,1,1,1,2,3,1,1,1,1,1,1,0,0,0,0,0,T2,Telekom,A1,Telemach,BOB,Tuš mobil, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,T2,Siol,Telemach,A1,Telekom,BOB, , , , ,1,1,1,1,0,0,9, ,6
1,40,11,3,2,1,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,telekom,a1,telemah,hotmobil,izimobil,bob, , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,telekom,siol,hotmobil, , , , , , , ,1,1,1,1,0,0,9, ,6
1,51,8,4,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,T2,A1, , , , , , , , ,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,T2,A1, , , , , , , , ,1,1,1,1,1,0,3, ,3
2,64,5,5,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telekom,A1, , , , , , , , ,1,1,1,1,0,0,1, ,1
1,29,10,4,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom,Telemach,Hot, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telemah,Telekom, , , , , , , ,1,1,1,1,1,0,2, ,2
1,57,9,4,2,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,Telemach,A1,Telekom, , , , , , , ,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,Telekom,A1, , , , , , , ,1,0,1,1,0,0,3, ,4
2,23,4,3,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,Bob,Telekom,Telemach,T2, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,T2, , , , , , , ,1,1,1,1,1,0,1, ,1
1,48,5,4,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,telemach,telekom, , , , , , , , ,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,telemach,telekom, , , , , , , , ,1,1,1,1,0,0,7, ,6
2,20,2,4,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom slovenije,T-2, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telemach,Telekom, , , , , , , ,1,1,1,1,0,0,2, ,2
2,61,9,2,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telekom,Telemach,A1,T2,Bob, , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Telekom,Telemach,A1,T2,Total Tv, , , , , ,1,1,1,1,1,0,1, ,4
2,22,9,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,T-2,Telemah,Telekom Slovenija, , , , , , ,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,A1,Hofer,T-2,Telekom Slovenija,Telemach, , , , , ,1,1,1,1,0,0,3, ,3
2,24,4,1,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telecom,Telemach,A1,Hofer,Redo, , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,T2,Telemach,Telekom, , , , , , , ,1,1,1,1,1,0,9, ,1
2,33,7,4,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,A1,Telemach,T2, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telemach,T2, , , , , , , ,1,1,1,1,0,0,1, ,4
2,21,8,3,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,Bob,A1,Telekom, , , , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,T2,Bob,A1,Telekom, , , , , , ,1,1,1,1,0,0,5, ,4
2,63,8,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,T 2,A1, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,T-2,A 1, , , , , , ,1,1,1,1,1,0,2, ,3
1,48,8,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,A1,Telekom,T-2,Telemach,bob,re:do,Izimobil,Hotmobil,Sparmobil, ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom,Telemach,T-2, , , , , , ,1,1,1,1,1,0,5, ,3
2,53,7,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,t2, , , , , , , , , ,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,t2, , , , , , , , , ,0,0,0,1,0,0,4, ,4
2,29,8,5,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Hot mobil,A1,Telemach,Telecom, , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telemach,A1, , , , , , , , ,1,1,1,1,1,0,6, ,1
2,56,1,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemach,Tekekom,T2,A1, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,A1,T2, , , , , , ,1,1,1,1,1,0,1, ,3
1,51,8,5,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,T2,TELEKOM,HOFER,SPAR, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,AMIS,TELEKOM,T2, , , , , , , ,1,0,1,1,1,0,4, ,4
2,49,2,9,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,telemach,telekom,a1,t2,hofer, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,telekom,telemach,t2,a1, , , , , , ,1,1,1,1,0,0,3, ,1
2,48,2,3,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,A1,Telekom,Telemach, , , , , , , ,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Telekom,A1,Telemach,Hofer,T2, , , , , ,1,1,1,1,0,0,1, ,1
2,50,12,9,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,A1,Telekom,Hofer, , , , , , , ,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,A1, , , , , , , , , ,1,0,0,0,0,0,2, ,1
1,44,1,3,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telemach,Telekom,T-2,A-1,Izi,Tušmobil, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,Telemach,Telekom,T-2,A-1,Izi,Tušmobil, , , , ,1,1,1,1,1,0,1, ,3
1,24,2,7,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telekom,T2,A1,Telemah,Hofer,Redo, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,T2,Telemah,A1, , , , , , ,1,1,1,1,0,0,1, ,1
2,46,8,5,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telekom,Telmach,A1,T2,Bob, , , , , ,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,T2,A1, , , , , , ,1,1,1,1,1,0,1, ,4
1,65,11,3,2,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,telekom,telemach,a1,t2,hofer,bob, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,telekom,telemach,a1,t2, , , , , , ,1,1,1,1,1,0,1, ,3
1,34,7,3,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,T2,Telekom,A1, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T2,A1,Telekom,Telemach, , , , , , ,1,1,1,1,1,0,2, ,4
1,23,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Telekom Slovenije,A1,HoT,Spar Mobil,Bob,Telemach,T-2, , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Telekom Slovenije,T-2,Telemach,A1,MegaTEL, , , , , ,1,1,1,1,1,0,1, ,1
2,67,1,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,T-2,Telekom,Telemah,A1,Hofer,Izimobil,Spar,Hofer, , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T-2,Telekom,Telemah,A1, , , , , , ,1,1,1,1,1,0,4, ,4
1,63,7,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Telekom,T2,A1,Bob,Telemach,Hot, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,T2,Telemach, , , , , , ,1,1,1,1,1,0,1, ,1
2,36,12,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,Telekom Slovenije,A1,Telemach,Tuš mobil,Hofer,T-2, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T-2,A1,Telekom Slovenije,Telemach, , , , , , ,1,1,1,1,0,0,1, ,2
